symbol,strike_price,expiry_date,option_type,identifier,instrument_token,last_price,change,p_change,volume,oi,iv,oi_day_high,oi_day_low,bid_qty,bid_price,ask_qty,ask_price
NIFTY,21000,31-Mar-2026,PE,OPTIDXNIFTY31-03-2026PE21000.00,,56.0,2.299999999999997,4.28305400372439,171,1391.0,18.42,,,750,55.35,75,56.0
NIFTY,21000,30-Jun-2026,PE,OPTIDXNIFTY30-06-2026PE21000.00,,104.0,13.0,14.285714285714285,65,4821.0,18.77,,,75,96.15,75,105.35
NIFTY,21000,29-Dec-2026,CE,OPTIDXNIFTY29-12-2026CE21000.00,,0.0,0.0,0.0,0,0.0,0.0,,,75,5000.0,75,5750.0
NIFTY,21000,29-Dec-2026,PE,OPTIDXNIFTY29-12-2026PE21000.00,,195.0,4.0,2.094240837696335,33,481.6666666666667,19.64,,,375,192.5,75,199.0
NIFTY,21000,29-Jun-2027,PE,OPTIDXNIFTY29-06-2027PE21000.00,,225.05,0.0,0.0,0,10.666666666666666,0.0,,,225,246.55,0,0.0
NIFTY,21000,28-Dec-2027,PE,OPTIDXNIFTY28-12-2027PE21000.00,,340.0,0.0,0.0,0,13.666666666666666,0.0,,,75,291.7,75,375.0
NIFTY,21000,27-Jun-2028,PE,OPTIDXNIFTY27-06-2028PE21000.00,,0.0,0.0,0.0,0,0.0,0.0,,,150,322.15,0,0.0
NIFTY,21000,26-Dec-2028,PE,OPTIDXNIFTY26-12-2028PE21000.00,,618.05,0.0,0.0,0,16.666666666666668,0.0,,,75,341.4,0,0.0
NIFTY,21000,26-Jun-2029,PE,OPTIDXNIFTY26-06-2029PE21000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,344.0,0,0.0
NIFTY,21000,24-Dec-2029,PE,OPTIDXNIFTY24-12-2029PE21000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,349.25,0,0.0
NIFTY,21000,25-Jun-2030,PE,OPTIDXNIFTY25-06-2030PE21000.00,,0.0,0.0,0.0,0,0.0,0.0,,,5400,3.05,0,0.0
NIFTY,22000,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE22000.00,,2968.85,-144.95000000000027,-4.655083820412367,531,2891.0,63.93,,,75,2951.2,75,2975.2
NIFTY,22000,30-Sep-2025,PE,OPTIDXNIFTY30-09-2025PE22000.00,,0.8,-0.09999999999999998,-11.111111111111107,50252,35683.0,38.28,,,78150,0.75,22725,0.8
NIFTY,22000,30-Dec-2025,CE,OPTIDXNIFTY30-12-2025CE22000.00,,3372.0,-143.8499999999999,-4.091471479158665,476,6021.0,0.0,,,75,3352.05,75,3378.5
NIFTY,22000,30-Dec-2025,PE,OPTIDXNIFTY30-12-2025PE22000.00,,38.45,2.3000000000000043,6.362378976486872,2033,22659.333333333332,17.34,,,75,37.5,525,39.0
NIFTY,22000,31-Mar-2026,CE,OPTIDXNIFTY31-03-2026CE22000.00,,4200.0,0.0,0.0,0,1.0,0.0,,,75,2743.7,75,4896.7
NIFTY,22000,31-Mar-2026,PE,OPTIDXNIFTY31-03-2026PE22000.00,,79.5,5.799999999999997,7.869742198100403,842,4282.0,16.39,,,375,78.6,75,82.15
NIFTY,22000,30-Jun-2026,PE,OPTIDXNIFTY30-06-2026PE22000.00,,137.45,12.949999999999989,10.401606425702802,26,103.0,17.02,,,300,130.1,75,144.0
NIFTY,22000,29-Dec-2026,CE,OPTIDXNIFTY29-12-2026CE22000.00,,5000.0,500.0,11.11111111111111,1,20.0,0.0,,,75,4700.0,75,4950.0
